,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
0,543,Vellore,8,GEN,Tamil Nadu,Kathir Anand,Dravida Munetra Kazhagam,1438643.0,1028100.0,71.46,8141.0,0.79
1,542,Karimganj,1,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,1165997.0,1061160.0,79.18,38389.0,3.62
2,1,Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837.0,1063730.0,77.9,58560.0,5.5
3,2,Agra,18,SC,Uttar Pradesh,Satyapal Singh Baghel,Bharatiya Janta Party,1866262.0,1145323.0,61.7,211546.0,18.5
4,3,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677.0,1203797.0,67.3,281474.0,23.4
5,4,Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598.0,1116367.0,65.7,434330.0,38.9
6,5,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673.0,997024.0,64.0,321546.0,32.3
7,6,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532.0,1262214.0,69.0,416424.0,33.0
8,7,Akbarpur,44,GEN,Uttar Pradesh,Devendra Singh 'bhole',Bharatiya Janta Party,1714490.0,1025314.0,60.3,275142.0,26.8
9,8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645.0,1119440.0,64.2,275596.0,24.6
10,9,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061.0,1088728.0,84.3,10474.0,1.0
11,10,Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063.0,1018743.0,84.2,158968.0,15.6
12,11,Aligarh,15,GEN,Uttar Pradesh,Satish Kumar Gautam,Bharatiya Janta Party,1847005.0,1163184.0,63.3,229261.0,19.7
13,12,Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563.0,1380217.0,91.7,243989.0,17.7
14,13,Allahabad,52,GEN,Uttar Pradesh,Rita Bahuguna Joshi,Bharatiya Janta Party,1679883.0,889056.0,53.4,184275.0,20.7
15,14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611.0,694472.0,55.1,232986.0,33.5
16,15,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180.0,1265674.0,61.7,329971.0,26.1
17,16,Amalapuram,7,,Andhra Pradesh,Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280.0,1232895.0,108.1,39795.0,3.2
18,17,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524.0,1316235.0,75.3,342345.0,26.0
19,18,Ambedkar Nagar,55,GEN,Uttar Pradesh,Ritesh Pandey,Bahujan Samaj Party,1744287.0,1090152.0,63.2,95880.0,8.8
20,19,Amethi,37,GEN,Uttar Pradesh,Smriti Irani,Bharatiya Janta Party,1703510.0,942453.0,55.6,55120.0,5.8
21,20,Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097.0,1112385.0,63.8,36951.0,3.3
22,21,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346.0,909167.0,57.8,201431.0,22.2
23,22,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972.0,859513.0,59.1,99626.0,11.6
24,23,Amroha,9,GEN,Uttar Pradesh,Kunwar Danish Ali,Bahujan Samaj Party,1596897.0,1169182.0,73.6,63248.0,5.4
25,24,Anakapalli,5,,Andhra Pradesh,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335.0,1238491.0,91.1,89192.0,7.2
26,25,Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307.0,1108661.0,69.8,197718.0,17.8
27,26,Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,1648822.0,1081727.0,66.7,46884.0,4.3
28,27,Anantapur,19,,Andhra Pradesh,Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758.0,1342306.0,91.2,141428.0,10.5
29,28,Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023.0,124896.0,9.7,6676.0,5.3
30,29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar,Kuldeep Rai Sharma,Indian National Congress,269360.0,207296.0,77.5,1407.0,0.7
31,30,Aonla,24,GEN,Uttar Pradesh,Dharmendra Kashyap,Bharatiya Janta Party,1750190.0,1052795.0,60.7,113743.0,10.8
32,31,Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,1461110.0,1178060.0,81.5,328956.0,27.9
33,32,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133.0,1471981.0,91.5,1142.0,0.1
34,33,Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,1407725.0,1143907.0,82.5,230806.0,20.2
35,34,Araria,9,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1469717.0,1169630.0,81.0,137241.0,11.7
36,35,Arrah,32,GEN,Bihar,R. K. Singh,Bharatiya Janta Party,2055316.0,1080684.0,53.6,147285.0,13.6
37,36,Aruku,1,,Andhra Pradesh,Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657.0,1074538.0,82.6,224089.0,20.9
38,37,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,335682.0,293781.0,89.2,69948.0,23.8
39,38,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,458680.0,358310.0,78.5,174843.0,48.8
40,39,Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467.0,1238135.0,70.8,197637.0,16.0
41,40,Aska,19,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,1494153.0,1013862.0,69.0,204707.0,20.2
42,41,Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675.0,1004888.0,76.9,38247.0,3.8
